shape_id,shape_pt_lat,shape_pt_sequence,shape_dist_traveled,shape_pt_lon
1,60.29274624347992,1,0.0,25.044665336608887
1,60.29542583847034,2,0.3,25.04530906677246
1,60.29556406558734,3,0.32999999999999996,25.04485845565796
1,60.294968621534295,4,0.39999999999999997,25.044536590576172
1,60.293150323455166,5,0.61,25.04357099533081
1,60.2921507480965,6,0.72,25.043270587921143
1,60.29171475352676,7,0.78,25.04262685775757
1,60.29068323102719,8,0.93,25.040974617004395
1,60.2901727748659,9,1.0,25.040202140808105
1,60.28998135175069,10,1.02,25.040223598480225
1,60.2901621402778,11,1.08,25.04129648208618
1,60.28996008244648,12,1.1700000000000002,25.042819976806637
1,60.29001325568104,13,1.2700000000000002,25.044665336608887
1,60.29063005888226,14,1.3900000000000001,25.046532154083252
1,60.29133192423226,15,1.4900000000000002,25.047733783721924
1,60.29191680051374,16,1.5900000000000003,25.04910707473755
1,60.29272497597445,17,1.7200000000000002,25.050780773162842
1,60.29279941218308,18,1.7300000000000002,25.050995349884033
1,60.29241659559019,19,1.7900000000000003,25.051660537719727
1,60.29139572942598,20,1.9000000000000004,25.05157470703125
1,60.29057688665081,21,2.0000000000000004,25.052390098571777
1,60.289513423861735,22,2.1800000000000006,25.05483627319336
1,60.2888540595603,23,2.3000000000000007,25.05655288696289
1,60.288449926480325,24,2.380000000000001,25.057754516601562
1,60.28747147833687,25,2.500000000000001,25.05844116210937
1,60.28628028455528,26,2.630000000000001,25.058140754699707
1,60.28576975965032,27,2.710000000000001,25.05908489227295
1,60.28521668200858,28,2.830000000000001,25.060887336730957
1,60.284982684805655,29,2.930000000000001,25.062646865844727
1,60.284918867096074,30,3.100000000000001,25.065650939941406
1,60.28472741322003,31,3.240000000000001,25.0682258605957
1,60.28419559101646,32,3.3800000000000012,25.07058620452881
1,60.28300427789472,33,3.6700000000000013,25.07530689239502
1,60.28240860505948,34,3.840000000000001,25.078139305114746
1,60.282068215710915,35,3.950000000000001,25.08002758026123
1,60.28164272404317,36,4.160000000000001,25.083761215209957
1,60.28149380065163,37,4.410000000000001,25.088224411010742
1,60.28157889981553,38,4.530000000000001,25.090456008911133
1,60.28123850183135,39,4.690000000000001,25.093331336975098
1,60.28053641979991,40,4.990000000000001,25.098674297332764
1,60.27978113290865,41,5.080000000000001,25.098223686218258
1,60.27905774319645,42,5.160000000000001,25.098330974578857
1,60.27867476569527,43,5.230000000000001,25.09923219680786
1,60.280589608360216,44,5.4700000000000015,25.101141929626465
1,60.28225968515541,45,5.6800000000000015,25.102837085723873
1,60.283376567907155,46,5.810000000000001,25.103459358215332
1,60.28459977667996,47,5.950000000000001,25.103673934936523
1,60.28600375122117,48,6.110000000000001,25.103180408477783
1,60.287705457730546,49,6.320000000000001,25.1017427444458
1,60.2891837433732,50,6.500000000000001,25.100369453430172
1,60.289928178464194,51,6.590000000000001,25.099875926971432
1,60.29123621620815,52,6.740000000000001,25.09955406188965
1,60.2923846940051,53,6.870000000000001,25.099575519561768
1,60.29395846842145,54,7.050000000000001,25.10024070739746
1,60.29786067675881,55,7.500000000000001,25.10227918624878
1,60.299997656096984,56,7.740000000000001,25.10326623916626
1,60.30288926635712,57,8.07,25.104167461395264
1,60.304834580753045,58,8.290000000000001,25.104596614837646
1,60.307534442691875,59,8.590000000000002,25.10528326034546
1,60.30883114746054,60,8.740000000000002,25.10573387145996
1,60.3109886651006,61,8.990000000000002,25.106871128082275
1,60.3119770369199,62,9.110000000000001,25.107707977294922
1,60.31346485208215,63,9.290000000000001,25.109059810638428
1,60.315823962910166,64,9.590000000000002,25.11176347732544
1,60.31705658367247,65,9.750000000000002,25.113265514373776
1,60.317917265414025,66,9.850000000000001,25.11403799057007
1,60.319702310789815,67,10.060000000000002,25.115389823913574
1,60.32252843308696,68,10.400000000000002,25.11751413345337
1,60.32535431078957,69,10.740000000000002,25.119638442993164
1,60.32967764274138,70,11.250000000000002,25.1227068901062
1,60.33177005723936,71,11.490000000000002,25.12397289276123
1,60.334021642797744,72,11.740000000000002,25.12474536895752
1,60.33601820193005,73,11.960000000000003,25.124573707580566
1,60.337696066736825,74,12.150000000000002,25.12474536895752
1,60.34177355576394,75,12.610000000000003,25.126032829284668
1,60.34531970740437,76,13.010000000000003,25.126805305480957
1,60.34570190432926,77,13.170000000000003,25.129594802856445
1,60.34621149326339,78,13.320000000000004,25.132169723510742
1,60.3472943433164,79,13.530000000000005,25.135345458984375
1,60.348164843764266,80,13.770000000000005,25.13933658599853
1,60.34873808746984,81,13.960000000000004,25.142555236816406
1,60.34950239673876,82,14.130000000000004,25.145130157470703
1,60.35287788177264,83,14.740000000000004,25.153841972351074
1,60.354469970432774,84,15.020000000000003,25.15783309936523
1,60.35631669590078,85,15.440000000000003,25.164484977722164
1,60.35754778810863,86,15.790000000000003,25.170364379882812
1,60.358290666090866,87,16.1,25.175771713256836
1,60.35920332158323,88,16.32,25.17941951751709
1,60.360115951528,89,16.52,25.182466506958008
1,60.36043430480075,90,16.68,25.18538475036621
1,60.360328187388596,91,16.98,25.190749168395996
1,60.360285740326994,92,17.18,25.19439697265625
1,60.360688985180666,93,17.419999999999998,25.198688507080075
1,60.36102855592562,94,17.56,25.20113468170166
1,60.36102855592562,95,17.99,25.20890235900879
1,60.36134690028668,96,18.16,25.211992263793945
1,60.362811244308084,97,18.53,25.218086242675778
1,60.36535777289089,98,18.950000000000003,25.22383689880371
1,60.36724631976733,99,19.250000000000004,25.22778511047363
1,60.369792501871,100,19.700000000000003,25.234222412109375
